	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	Outlier	Paralog1	Paralog2	WeightOutliersExcluded	WeightOutliersIncluded
AT4G25420__AT5G51810	0.7400800000000001	0.7873100000000001	1512.0	1119.0	0.2921	GF_000197	0.1211	0.7495	13.0	0.1615	False	AT4G25420	AT5G51810	1.0	1.0
AT1G15540__AT1G80320	0.62698	0.5959899999999999	1512.0	948.0	0.7319	GF_000197	0.3517	68.8938	20.0	0.0051	True	AT1G80320	AT1G15540	0.0	1.0
AT1G54280__AT3G13900	0.9183399999999999	0.8493700000000001	4041.0	3711.0	0.12265999999999999	GF_000206	0.0581	1.0479	13.0	0.0554	False	AT3G13900	AT1G54280	1.0	1.0
AT1G17500__AT1G72700	0.9005200000000001	0.8477600000000001	4041.0	3639.0	0.12897999999999998	GF_000206	0.0254	0.9952	14.0	0.0256	False	AT1G72700	AT1G17500	1.0	1.0
AT1G72700__AT3G13900	0.91017	0.7400800000000001	4041.0	3678.0	0.32305	GF_000206	0.0796	2.4245	15.0	0.0328	False	AT3G13900	AT1G72700	0.25	0.25
AT1G54280__AT1G72700	0.91166	0.7470100000000001	4041.0	3684.0	0.32769000000000004	GF_000206	0.09699999999999999	2.6499	15.0	0.0366	False	AT1G54280	AT1G72700	0.25	0.25
AT1G26130__AT3G25610	0.87379	0.6907399999999999	4041.0	3531.0	0.43228999999999995	GF_000206	0.1926	64.0851	21.0	0.003	True	AT3G25610	AT1G26130	0.0	0.25
AT1G13210__AT1G26130	0.87231	0.68511	4041.0	3525.0	0.45513000000000003	GF_000206	0.1919	5.9077	21.0	0.0325	True	AT1G13210	AT1G26130	0.0	0.25
AT5G02040__AT5G05987	0.19388	0.66986	3234.0	627.0	0.38245	GF_000168	0.2445	3.3829	14.0	0.0723	False	AT5G05987	AT5G02040	1.0	1.0
AT3G11370__AT5G05987	0.1846	0.26466	3234.0	597.0	1.3750799999999999	GF_000168	5.5182	4.5438	26.0	1.2144	True	AT5G05987	AT3G11370	0.0	0.025
AT1G53420__AT3G14840	0.7630899999999999	0.70855	3723.0	2841.0	0.53565	GF_000164	0.2198	0.5796	20.0	0.3792	False	AT3G14840	AT1G53420	0.5	0.5
AT1G30400__AT2G34660	0.92563	0.85806	5244.0	4854.0	0.1533	GF_000125	0.081	0.4162	17.0	0.1946	False	AT2G34660	AT1G30400	1.0	1.0
AT2G20180__AT4G28790	0.55	0.54367	2040.0	1122.0	1.12704	GF_000128	0.3154	1.5726	19.0	0.2006	False	AT2G20180	AT4G28790	0.25	0.25
AT2G46970__AT3G62090	0.5102899999999999	0.54179	2040.0	1041.0	1.38221	GF_000128	0.3709	0.9470000000000001	21.0	0.3916	False	AT2G46970	AT3G62090	1.0	1.0
