Orthogroup	A. trichopoda	V. vinifera
OG0000000	ATR0006G013.1, ATR0019G026.1, ATR0043G007.1, ATR0069G034.1, ATR0086G001.1, ATR0099G042.1, ATR0099G048.1, ATR0127G033.1, ATR0144G001.1, ATR0207G001.1, ATR0290G001.1, ATR0314G044.1, ATR0317G022.1, ATR0322G043.1, ATR0378G001.1, ATR0398G001.1, ATR0403G001.1, ATR0494G002.1, ATR0517G001.1, ATR0547G001.1, ATR0561G091.1, ATR0564G290.1, ATR0568G163.1, ATR0579G063.1, ATR0580G028.1, ATR0594G108.1, ATR0594G162.1, ATR0605G231.1, ATR0612G001.1, ATR0620G094.1, ATR0639G001.1, ATR0661G214.1, ATR0665G161.1, ATR0687G004.1, ATR0697G083.1, ATR0697G248.1, ATR0716G113.1, ATR0733G117.1, ATR0745G049.1, ATR0745G052.1, ATR0749G002.1, ATR0751G256.1, ATR0753G075.1, ATR0753G078.1, ATR0757G006.1, ATR0767G160.1, ATR0767G177.1, ATR0776G001.1, ATR0777G001.1, ATR0794G043.1, ATR0800G051.1, ATR0800G056.1, ATR0824G017.1, ATR0824G089.1, ATR0914G001.1, ATR0935G001.1, ATR0997G001.1, ATR1069G001.1, ATR1102G004.1, ATR1114G001.1, ATR1120G096.1, ATR1120G153.1, ATR1132G105.1, ATR1132G132.1, ATR1136G206.1, ATR1138G001.1, ATR1145G033.1, ATR1156G021.1, ATR1165G001.1	GSVIVT01006529001, GSVIVT01036731001, GSVIVT01038489001
OG0000001	ATR0019G002.1, ATR0026G004.1, ATR0044G038.1, ATR0071G035.1, ATR0144G006.1, ATR0171G045.1, ATR0300G001.1, ATR0314G038.1, ATR0317G020.1, ATR0320G023.1, ATR0320G029.1, ATR0326G005.1, ATR0564G431.1, ATR0564G468.1, ATR0568G225.1, ATR0594G014.1, ATR0594G075.1, ATR0594G129.1, ATR0594G218.1, ATR0598G009.1, ATR0598G252.1, ATR0602G201.1, ATR0605G317.1, ATR0609G083.1, ATR0624G111.1, ATR0626G085.1, ATR0629G047.1, ATR0629G053.1, ATR0629G103.1, ATR0661G500.1, ATR0681G174.1, ATR0691G004.1, ATR0705G136.1, ATR0712G034.1, ATR0743G249.1, ATR0749G019.1, ATR0752G037.1, ATR0752G235.1, ATR0759G046.1, ATR0762G003.1, ATR0782G156.1, ATR0804G046.1, ATR0804G092.1, ATR0807G030.1, ATR0980G006.1, ATR1127G160.1, ATR1134G114.1	
OG0000002		GSVIVT01000993001, GSVIVT01001489001, GSVIVT01004865001, GSVIVT01011321001, GSVIVT01012759001, GSVIVT01012761001, GSVIVT01012798001, GSVIVT01019196001, GSVIVT01020967001, GSVIVT01020970001, GSVIVT01020972001, GSVIVT01020981001, GSVIVT01020983001, GSVIVT01025918001, GSVIVT01025955001, GSVIVT01025957001, GSVIVT01025958001, GSVIVT01025961001, GSVIVT01025965001, GSVIVT01025968001, GSVIVT01025986001, GSVIVT01025992001, GSVIVT01025997001, GSVIVT01029007001, GSVIVT01029009001, GSVIVT01029013001, GSVIVT01029021001, GSVIVT01034767001, GSVIVT01034770001, GSVIVT01034791001, GSVIVT01034805001, GSVIVT01034809001, GSVIVT01034812001, GSVIVT01034855001, GSVIVT01036294001, GSVIVT01036407001, GSVIVT01037171001, GSVIVT01037178001, GSVIVT01037203001, GSVIVT01037218001, GSVIVT01037219001, GSVIVT01037222001, GSVIVT01037226001
OG0000003	ATR0559G029.1, ATR0559G095.1, ATR0559G119.1, ATR0559G154.1, ATR0559G180.1, ATR0559G224.1, ATR0559G235.1, ATR0559G237.1, ATR0559G243.1, ATR0559G257.1, ATR0559G262.1, ATR0559G272.1, ATR0559G291.1, ATR0559G296.1, ATR0559G325.1, ATR0559G327.1, ATR0559G334.1, ATR0559G341.1, ATR0618G203.1, ATR0665G501.1, ATR0737G074.1, ATR0737G159.1, ATR0824G084.1, ATR0824G231.1, ATR0824G284.1, ATR1120G140.1	GSVIVT01005211001, GSVIVT01016502001, GSVIVT01029708001, GSVIVT01034126001
OG0000004	ATR0118G032.1, ATR0210G005.1, ATR0210G018.1, ATR0210G033.1, ATR0210G035.1, ATR0210G037.1, ATR0482G001.1, ATR0731G001.1, ATR0749G085.1, ATR0749G091.1, ATR0767G181.1, ATR0782G013.1, ATR0782G070.1, ATR0782G121.1, ATR0782G123.1, ATR0782G132.1, ATR0782G138.1, ATR0782G145.1, ATR0782G148.1, ATR0782G188.1, ATR0782G219.1	GSVIVT01004328001, GSVIVT01006042001, GSVIVT01006043001, GSVIVT01006626001, GSVIVT01015729001, GSVIVT01016425001, GSVIVT01016427001
OG0000005	ATR0100G026.1, ATR0100G043.1, ATR0100G060.1, ATR0564G072.1, ATR0564G074.1, ATR0564G093.1, ATR0564G139.1, ATR0564G303.1, ATR0564G406.1, ATR0564G442.1, ATR0564G443.1, ATR0564G470.1, ATR0564G489.1, ATR0564G494.1, ATR0564G501.1, ATR0564G510.1, ATR0564G512.1, ATR0564G526.1, ATR0564G544.1, ATR0743G069.1, ATR0743G100.1, ATR0753G026.1, ATR0780G001.1, ATR0782G085.1, ATR0873G001.1	GSVIVT01009012001, GSVIVT01022213001
OG0000006	ATR0665G363.1, ATR0665G481.1	GSVIVT01001211001, GSVIVT01001213001, GSVIVT01001215001, GSVIVT01001537001, GSVIVT01001892001, GSVIVT01003103001, GSVIVT01003105001, GSVIVT01003106001, GSVIVT01003110001, GSVIVT01003463001, GSVIVT01003464001, GSVIVT01003646001, GSVIVT01003648001, GSVIVT01005243001, GSVIVT01005246001, GSVIVT01005250001, GSVIVT01017528001, GSVIVT01017532001, GSVIVT01017537001, GSVIVT01017539001, GSVIVT01017540001, GSVIVT01019314001, GSVIVT01023767001, GSVIVT01023771001
OG0000007		GSVIVT01021915001, GSVIVT01021916001, GSVIVT01021920001, GSVIVT01021921001, GSVIVT01021935001, GSVIVT01021937001, GSVIVT01021944001, GSVIVT01021948001, GSVIVT01021955001, GSVIVT01021958001, GSVIVT01022040001, GSVIVT01022047001, GSVIVT01023404001, GSVIVT01023406001, GSVIVT01023432001, GSVIVT01023436001, GSVIVT01023444001, GSVIVT01023551001, GSVIVT01023563001, GSVIVT01023566001, GSVIVT01026152001, GSVIVT01026162001, GSVIVT01036188001, GSVIVT01036191001, GSVIVT01037631001
OG0000008	ATR0122G020.1, ATR0122G029.1, ATR0153G005.1, ATR0153G007.1, ATR0153G013.1, ATR0153G014.1, ATR0153G022.1, ATR0153G024.1, ATR0153G025.1, ATR0153G028.1, ATR0153G034.1, ATR0199G003.1, ATR0787G013.1, ATR0787G045.1, ATR0787G214.1, ATR0827G072.1, ATR0827G123.1, ATR0827G147.1	GSVIVT01007610001, GSVIVT01007618001, GSVIVT01014635001, GSVIVT01022459001, GSVIVT01037975001, GSVIVT01037987001
OG0000009	ATR0315G006.1, ATR0712G084.1, ATR0712G153.1, ATR0730G022.1, ATR0730G050.1, ATR0737G136.1, ATR0751G106.1, ATR0751G152.1, ATR0751G169.1, ATR1089G136.1, ATR1128G002.1, ATR1128G017.1, ATR1128G031.1, ATR1128G071.1, ATR1128G079.1, ATR1128G092.1, ATR1128G096.1, ATR1128G109.1, ATR1128G116.1, ATR1128G124.1	GSVIVT01020691001, GSVIVT01036253001, GSVIVT01036255001, GSVIVT01036273001
