	Vvi.cds
GF00001	GSVIVT01000030001, GSVIVT01000033001, GSVIVT01000034001, GSVIVT01013423001, GSVIVT01000420001, GSVIVT01008173001, GSVIVT01010898001, GSVIVT01016874001, GSVIVT01021403001, GSVIVT01015087001, GSVIVT01008015001, GSVIVT01029382001, GSVIVT01015233001, GSVIVT01017209001, GSVIVT01006121001, GSVIVT01021023001, GSVIVT01010654001, GSVIVT01000072001, GSVIVT01005577001, GSVIVT01006104001, GSVIVT01028697001, GSVIVT01017378001, GSVIVT01037332001, GSVIVT01030080001, GSVIVT01008407001, GSVIVT01000936001, GSVIVT01002530001, GSVIVT01008715001, GSVIVT01025639001, GSVIVT01010125001, GSVIVT01036010001, GSVIVT01036757001, GSVIVT01012159001, GSVIVT01016592001, GSVIVT01036788001, GSVIVT01000086001, GSVIVT01033348001, GSVIVT01019231001, GSVIVT01017075001, GSVIVT01021246001, GSVIVT01034655001, GSVIVT01033004001, GSVIVT01033837001, GSVIVT01022894001, GSVIVT01036169001, GSVIVT01032394001, GSVIVT01031733001, GSVIVT01000244001, GSVIVT01021756001, GSVIVT01010031001, GSVIVT01032721001, GSVIVT01012670001, GSVIVT01023971001, GSVIVT01009407001, GSVIVT01036877001, GSVIVT01033872001, GSVIVT01035618001, GSVIVT01036511001, GSVIVT01032950001, GSVIVT01017996001, GSVIVT01031849001, GSVIVT01018018001, GSVIVT01023644001, GSVIVT01023345001, GSVIVT01012938001, GSVIVT01000968001, GSVIVT01010647001, GSVIVT01013416001, GSVIVT01015325001, GSVIVT01027504001, GSVIVT01028819001, GSVIVT01027839001, GSVIVT01035491001, GSVIVT01026025001, GSVIVT01033389001, GSVIVT01017989001, GSVIVT01001030001, GSVIVT01022230001, GSVIVT01012174001, GSVIVT01001516001, GSVIVT01037205001, GSVIVT01037200001, GSVIVT01011735001, GSVIVT01003957001, GSVIVT01003124001, GSVIVT01019116001, GSVIVT01033863001, GSVIVT01009619001, GSVIVT01031292001, GSVIVT01035810001, GSVIVT01002055001, GSVIVT01030836001, GSVIVT01032665001, GSVIVT01010869001, GSVIVT01002712001, GSVIVT01004502001, GSVIVT01032994001, GSVIVT01021374001, GSVIVT01030473001, GSVIVT01018922001, GSVIVT01003256001, GSVIVT01024870001, GSVIVT01003804001, GSVIVT01015521001, GSVIVT01022208001, GSVIVT01005196001, GSVIVT01026881001, GSVIVT01012461001, GSVIVT01008721001, GSVIVT01008537001, GSVIVT01009866001, GSVIVT01006977001, GSVIVT01036186001, GSVIVT01025574001, GSVIVT01003422001, GSVIVT01038381001, GSVIVT01019401001, GSVIVT01016860001, GSVIVT01003989001, GSVIVT01013772001, GSVIVT01004482001, GSVIVT01005122001, GSVIVT01020757001, GSVIVT01008757001, GSVIVT01036943001, GSVIVT01004712001, GSVIVT01031266001, GSVIVT01004939001, GSVIVT01027077001, GSVIVT01033735001, GSVIVT01022202001, GSVIVT01026513001, GSVIVT01017347001, GSVIVT01033603001, GSVIVT01007279001, GSVIVT01012201001, GSVIVT01018877001, GSVIVT01007811001, GSVIVT01007972001, GSVIVT01023860001, GSVIVT01008007001, GSVIVT01021774001, GSVIVT01008724001, GSVIVT01035868001, GSVIVT01008922001, GSVIVT01011501001, GSVIVT01027951001, GSVIVT01008965001, GSVIVT01009227001, GSVIVT01017763001, GSVIVT01009047001, GSVIVT01033596001, GSVIVT01009496001, GSVIVT01020058001, GSVIVT01019408001, GSVIVT01009789001, GSVIVT01009974001, GSVIVT01026141001, GSVIVT01024915001, GSVIVT01009976001, GSVIVT01020758001, GSVIVT01009977001, GSVIVT01029347001, GSVIVT01034511001, GSVIVT01024040001, GSVIVT01027001001, GSVIVT01024912001, GSVIVT01036393001, GSVIVT01013422001, GSVIVT01017880001, GSVIVT01015318001, GSVIVT01013673001, GSVIVT01014277001, GSVIVT01020672001, GSVIVT01021183001, GSVIVT01021100001, GSVIVT01024761001, GSVIVT01017823001, GSVIVT01018393001, GSVIVT01018597001, GSVIVT01029885001, GSVIVT01021015001, GSVIVT01023966001, GSVIVT01024061001, GSVIVT01024139001, GSVIVT01024230001, GSVIVT01024233001, GSVIVT01024606001, GSVIVT01024611001, GSVIVT01025039001, GSVIVT01025607001, GSVIVT01025569001, GSVIVT01031655001, GSVIVT01028154001, GSVIVT01028446001, GSVIVT01028712001, GSVIVT01037506001, GSVIVT01030042001, GSVIVT01031928001, GSVIVT01032431001, GSVIVT01035493001, GSVIVT01036390001, GSVIVT01037390001, GSVIVT01038592001
GF00002	GSVIVT01011333001, GSVIVT01037944001, GSVIVT01030645001, GSVIVT01027525001, GSVIVT01031265001, GSVIVT01015466001, GSVIVT01025295001, GSVIVT01010223001, GSVIVT01005260001, GSVIVT01015468001, GSVIVT01026283001, GSVIVT01021576001, GSVIVT01033190001, GSVIVT01036207001, GSVIVT01035920001, GSVIVT01018056001, GSVIVT01024588001, GSVIVT01000178001, GSVIVT01003650001, GSVIVT01003453001, GSVIVT01031251001, GSVIVT01019975001, GSVIVT01028022001, GSVIVT01007937001, GSVIVT01030054001, GSVIVT01014727001, GSVIVT01035837001, GSVIVT01026150001, GSVIVT01020929001, GSVIVT01023818001, GSVIVT01000715001, GSVIVT01033304001, GSVIVT01003267001, GSVIVT01036142001, GSVIVT01034707001, GSVIVT01030248001, GSVIVT01002880001, GSVIVT01030443001, GSVIVT01017365001, GSVIVT01022516001, GSVIVT01025337001, GSVIVT01036975001, GSVIVT01007645001, GSVIVT01028747001, GSVIVT01035759001, GSVIVT01035319001, GSVIVT01003766001, GSVIVT01033654001, GSVIVT01011444001, GSVIVT01020874001, GSVIVT01011479001, GSVIVT01004415001, GSVIVT01004902001, GSVIVT01033906001, GSVIVT01008664001, GSVIVT01023129001, GSVIVT01007998001, GSVIVT01021268001, GSVIVT01024493001, GSVIVT01032594001, GSVIVT01013023001, GSVIVT01020091001, GSVIVT01007674001, GSVIVT01031221001, GSVIVT01031345001, GSVIVT01007983001, GSVIVT01011455001, GSVIVT01007974001, GSVIVT01025573001, GSVIVT01008656001, GSVIVT01025389001, GSVIVT01010016001, GSVIVT01011887001, GSVIVT01027196001, GSVIVT01010017001, GSVIVT01021789001, GSVIVT01037377001, GSVIVT01012172001, GSVIVT01018262001, GSVIVT01012175001, GSVIVT01012176001, GSVIVT01012206001, GSVIVT01013207001, GSVIVT01014280001, GSVIVT01018098001, GSVIVT01020016001, GSVIVT01023299001, GSVIVT01037258001, GSVIVT01026168001, GSVIVT01026181001, GSVIVT01037562001, GSVIVT01026649001, GSVIVT01038562001, GSVIVT01028388001, GSVIVT01029336001, GSVIVT01030455001, GSVIVT01030457001, GSVIVT01035761001
GF00003	GSVIVT01027558001, GSVIVT01027551001, GSVIVT01030579001, GSVIVT01026457001, GSVIVT01010612001, GSVIVT01000563001, GSVIVT01000564001, GSVIVT01009854001, GSVIVT01000567001, GSVIVT01000566001, GSVIVT01009855001, GSVIVT01024754001, GSVIVT01007610001, GSVIVT01024756001, GSVIVT01037975001, GSVIVT01007618001, GSVIVT01022207001, GSVIVT01016739001, GSVIVT01009848001, GSVIVT01008261001, GSVIVT01022459001, GSVIVT01037987001, GSVIVT01007614001, GSVIVT01008262001, GSVIVT01010307001, GSVIVT01024186001, GSVIVT01033368001, GSVIVT01007603001, GSVIVT01024193001, GSVIVT01033633001, GSVIVT01013045001, GSVIVT01009849001, GSVIVT01009851001, GSVIVT01022205001, GSVIVT01033759001, GSVIVT01033761001, GSVIVT01014637001, GSVIVT01018547001, GSVIVT01001221001, GSVIVT01022226001, GSVIVT01027404001, GSVIVT01012231001, GSVIVT01019653001, GSVIVT01010475001, GSVIVT01008122001, GSVIVT01027161001, GSVIVT01033752001, GSVIVT01033753001, GSVIVT01012981001, GSVIVT01027555001, GSVIVT01007878001, GSVIVT01018560001, GSVIVT01033367001, GSVIVT01008264001, GSVIVT01007418001, GSVIVT01018546001, GSVIVT01033763001, GSVIVT01015071001, GSVIVT01015074001, GSVIVT01015076001, GSVIVT01033755001, GSVIVT01007417001, GSVIVT01038227001, GSVIVT01012980001, GSVIVT01014635001, GSVIVT01007877001, GSVIVT01033366001, GSVIVT01032050001, GSVIVT01033365001, GSVIVT01008265001, GSVIVT01009583001, GSVIVT01034704001, GSVIVT01024554001, GSVIVT01009852001, GSVIVT01038509001, GSVIVT01037983001, GSVIVT01011538001, GSVIVT01019909001, GSVIVT01012652001, GSVIVT01019910001, GSVIVT01027560001, GSVIVT01022461001, GSVIVT01036779001, GSVIVT01024281001, GSVIVT01025800001, GSVIVT01027548001, GSVIVT01027549001, GSVIVT01027552001, GSVIVT01038231001, GSVIVT01030580001, GSVIVT01030581001, GSVIVT01033757001, GSVIVT01034474001, GSVIVT01038674001
GF00004	GSVIVT01000181001, GSVIVT01000184001, GSVIVT01000198001, GSVIVT01000189001, GSVIVT01002378001, GSVIVT01000200001, GSVIVT01000182001, GSVIVT01000187001, GSVIVT01000192001, GSVIVT01000194001, GSVIVT01002607001, GSVIVT01009388001, GSVIVT01009390001, GSVIVT01017292001, GSVIVT01000186001, GSVIVT01000196001, GSVIVT01017291001, GSVIVT01009391001, GSVIVT01021824001, GSVIVT01009405001, GSVIVT01017288001, GSVIVT01017286001, GSVIVT01000199001, GSVIVT01009404001, GSVIVT01000210001, GSVIVT01000212001, GSVIVT01000211001, GSVIVT01025061001, GSVIVT01034992001, GSVIVT01021662001, GSVIVT01032888001, GSVIVT01032879001, GSVIVT01000209001, GSVIVT01032883001, GSVIVT01026990001, GSVIVT01029829001, GSVIVT01023113001, GSVIVT01028662001, GSVIVT01024538001, GSVIVT01012827001, GSVIVT01011850001, GSVIVT01011849001, GSVIVT01036527001, GSVIVT01014571001, GSVIVT01024731001, GSVIVT01026007001, GSVIVT01029870001, GSVIVT01031722001, GSVIVT01001815001, GSVIVT01008509001, GSVIVT01029950001, GSVIVT01034604001, GSVIVT01020055001, GSVIVT01003778001, GSVIVT01009615001, GSVIVT01024803001, GSVIVT01017779001, GSVIVT01017290001, GSVIVT01010759001, GSVIVT01012235001, GSVIVT01014414001, GSVIVT01032623001, GSVIVT01028870001, GSVIVT01032970001, GSVIVT01025185001, GSVIVT01020095001, GSVIVT01032816001, GSVIVT01036047001
GF00005	GSVIVT01000232001, GSVIVT01018745001, GSVIVT01024036001, GSVIVT01030866001, GSVIVT01012777001, GSVIVT01011768001, GSVIVT01008401001, GSVIVT01012778001, GSVIVT01004851001, GSVIVT01003662001, GSVIVT01009032001, GSVIVT01000460001, GSVIVT01014454001, GSVIVT01026868001, GSVIVT01030708001, GSVIVT01013126001, GSVIVT01035177001, GSVIVT01004317001, GSVIVT01018577001, GSVIVT01024353001, GSVIVT01028091001, GSVIVT01000449001, GSVIVT01000450001, GSVIVT01027811001, GSVIVT01027810001, GSVIVT01028328001, GSVIVT01011447001, GSVIVT01023531001, GSVIVT01019945001, GSVIVT01036802001, GSVIVT01028981001, GSVIVT01007981001, GSVIVT01003675001, GSVIVT01014770001, GSVIVT01017716001, GSVIVT01028984001, GSVIVT01031496001, GSVIVT01032564001, GSVIVT01007670001, GSVIVT01019410001, GSVIVT01028235001, GSVIVT01036712001, GSVIVT01003966001, GSVIVT01031341001, GSVIVT01008090001, GSVIVT01004464001, GSVIVT01009280001, GSVIVT01029145001, GSVIVT01033648001, GSVIVT01035332001, GSVIVT01015264001, GSVIVT01008005001, GSVIVT01011417001, GSVIVT01010086001, GSVIVT01016800001, GSVIVT01037667001, GSVIVT01029904001, GSVIVT01032452001, GSVIVT01036552001, GSVIVT01013979001, GSVIVT01035041001, GSVIVT01018234001, GSVIVT01025269001, GSVIVT01032088001, GSVIVT01024359001
GF00006	GSVIVT01015461001, GSVIVT01000436001, GSVIVT01034745001, GSVIVT01031314001, GSVIVT01017676001, GSVIVT01017198001, GSVIVT01017188001, GSVIVT01031380001, GSVIVT01017204001, GSVIVT01017185001, GSVIVT01017202001, GSVIVT01017201001, GSVIVT01017187001, GSVIVT01017196001, GSVIVT01017184001, GSVIVT01035780001, GSVIVT01004783001, GSVIVT01028612001, GSVIVT01009510001, GSVIVT01026395001, GSVIVT01021988001, GSVIVT01012988001, GSVIVT01035786001, GSVIVT01035784001, GSVIVT01031377001, GSVIVT01034746001, GSVIVT01036184001, GSVIVT01034748001, GSVIVT01031378001, GSVIVT01016999001, GSVIVT01016998001, GSVIVT01024743001, GSVIVT01015456001, GSVIVT01035715001, GSVIVT01033804001, GSVIVT01034741001, GSVIVT01016991001, GSVIVT01016992001, GSVIVT01016993001, GSVIVT01035785001, GSVIVT01016994001, GSVIVT01017186001, GSVIVT01017189001, GSVIVT01017191001, GSVIVT01017190001, GSVIVT01017193001, GSVIVT01017194001, GSVIVT01017336001, GSVIVT01017197001, GSVIVT01017195001, GSVIVT01017199001, GSVIVT01017200001, GSVIVT01017337001, GSVIVT01028206001, GSVIVT01028207001, GSVIVT01028216001, GSVIVT01028218001, GSVIVT01030010001, GSVIVT01031381001, GSVIVT01036183001
GF00007	GSVIVT01000017001, GSVIVT01020728001, GSVIVT01017789001, GSVIVT01012657001, GSVIVT01035915001, GSVIVT01000937001, GSVIVT01037610001, GSVIVT01013378001, GSVIVT01025564001, GSVIVT01014162001, GSVIVT01028653001, GSVIVT01017568001, GSVIVT01023877001, GSVIVT01032642001, GSVIVT01016857001, GSVIVT01020073001, GSVIVT01016741001, GSVIVT01032269001, GSVIVT01033037001, GSVIVT01026406001, GSVIVT01011376001, GSVIVT01024951001, GSVIVT01020041001, GSVIVT01016560001, GSVIVT01034165001, GSVIVT01015077001, GSVIVT01015582001, GSVIVT01025085001, GSVIVT01036925001, GSVIVT01009129001, GSVIVT01013564001, GSVIVT01016294001, GSVIVT01025212001, GSVIVT01020182001, GSVIVT01033472001, GSVIVT01017680001, GSVIVT01025716001, GSVIVT01028210001, GSVIVT01023878001, GSVIVT01013375001, GSVIVT01018334001, GSVIVT01006157001, GSVIVT01026650001, GSVIVT01013374001, GSVIVT01037431001, GSVIVT01008036001, GSVIVT01013275001, GSVIVT01029835001, GSVIVT01024950001, GSVIVT01016239001, GSVIVT01035486001, GSVIVT01015198001, GSVIVT01017261001, GSVIVT01020042001, GSVIVT01020733001, GSVIVT01021119001, GSVIVT01025492001, GSVIVT01037611001
GF00008	GSVIVT01000812001, GSVIVT01000822001, GSVIVT01000844001, GSVIVT01013433001, GSVIVT01013434001, GSVIVT01013432001, GSVIVT01034241001, GSVIVT01024672001, GSVIVT01032178001, GSVIVT01025239001, GSVIVT01025240001, GSVIVT01027237001, GSVIVT01027246001, GSVIVT01027307001, GSVIVT01012378001, GSVIVT01012383001, GSVIVT01012306001, GSVIVT01012388001, GSVIVT01023841001, GSVIVT01011313001, GSVIVT01023116001, GSVIVT01012389001, GSVIVT01009743001, GSVIVT01009745001, GSVIVT01027306001, GSVIVT01006393001, GSVIVT01006396001, GSVIVT01006394001, GSVIVT01023840001, GSVIVT01006395001, GSVIVT01027601001, GSVIVT01027600001, GSVIVT01014573001, GSVIVT01011901001, GSVIVT01009520001, GSVIVT01027603001, GSVIVT01009742001, GSVIVT01018927001, GSVIVT01010695001, GSVIVT01027236001, GSVIVT01012394001, GSVIVT01012392001, GSVIVT01010696001, GSVIVT01012300001, GSVIVT01032175001, GSVIVT01027285001, GSVIVT01010702001, GSVIVT01012386001, GSVIVT01012305001, GSVIVT01027267001, GSVIVT01027268001, GSVIVT01032177001, GSVIVT01012301001, GSVIVT01012303001, GSVIVT01027269001, GSVIVT01012385001, GSVIVT01032176001, GSVIVT01024432001
GF00009	GSVIVT01036343001, GSVIVT01036322001, GSVIVT01036312001, GSVIVT01036348001, GSVIVT01036308001, GSVIVT01036361001, GSVIVT01036366001, GSVIVT01036360001, GSVIVT01036315001, GSVIVT01036376001, GSVIVT01036344001, GSVIVT01036374001, GSVIVT01013515001, GSVIVT01006642001, GSVIVT01000410001, GSVIVT01000414001, GSVIVT01005268001, GSVIVT01006591001, GSVIVT01006589001, GSVIVT01005271001, GSVIVT01005272001, GSVIVT01036371001, GSVIVT01002718001, GSVIVT01007468001, GSVIVT01006466001, GSVIVT01006468001, GSVIVT01005221001, GSVIVT01005220001, GSVIVT01006469001, GSVIVT01005218001, GSVIVT01006465001, GSVIVT01005296001, GSVIVT01005293001, GSVIVT01036373001, GSVIVT01036320001, GSVIVT01036375001, GSVIVT01036368001, GSVIVT01036367001, GSVIVT01036351001, GSVIVT01016108001, GSVIVT01036330001, GSVIVT01036307001, GSVIVT01036352001, GSVIVT01036333001, GSVIVT01036310001, GSVIVT01036318001, GSVIVT01036311001, GSVIVT01036346001, GSVIVT01036319001, GSVIVT01036324001, GSVIVT01036326001, GSVIVT01036342001, GSVIVT01036339001, GSVIVT01036340001, GSVIVT01036364001
GF00010	GSVIVT01000634001, GSVIVT01000657001, GSVIVT01013512001, GSVIVT01036767001, GSVIVT01036614001, GSVIVT01000655001, GSVIVT01001446001, GSVIVT01022941001, GSVIVT01013307001, GSVIVT01036610001, GSVIVT01031535001, GSVIVT01022963001, GSVIVT01000642001, GSVIVT01022961001, GSVIVT01005316001, GSVIVT01001469001, GSVIVT01000842001, GSVIVT01022931001, GSVIVT01000663001, GSVIVT01006243001, GSVIVT01000871001, GSVIVT01007026001, GSVIVT01001471001, GSVIVT01001448001, GSVIVT01007029001, GSVIVT01001453001, GSVIVT01038298001, GSVIVT01000840001, GSVIVT01022947001, GSVIVT01000666001, GSVIVT01000668001, GSVIVT01022837001, GSVIVT01001444001, GSVIVT01022856001, GSVIVT01023324001, GSVIVT01008359001, GSVIVT01032204001, GSVIVT01000882001, GSVIVT01000884001, GSVIVT01022859001, GSVIVT01022939001, GSVIVT01001431001, GSVIVT01019351001, GSVIVT01001457001, GSVIVT01001449001, GSVIVT01016084001, GSVIVT01006083001, GSVIVT01004032001, GSVIVT01022951001, GSVIVT01017426001, GSVIVT01038371001, GSVIVT01019349001, GSVIVT01022836001, GSVIVT01022937001, GSVIVT01038304001
