	Atr.cds
GF00001	ATR0691G190.1, ATR0012G039.1, ATR0618G395.1, ATR0564G018.1, ATR0753G034.1, ATR0564G201.1, ATR1088G042.1, ATR0737G117.1, ATR0736G100.1, ATR1089G009.1, ATR0661G450.1, ATR0564G269.1, ATR0763G114.1, ATR0737G088.1, ATR0807G220.1, ATR0127G018.1, ATR1096G108.1, ATR0772G087.1, ATR0332G040.1, ATR0564G432.1, ATR1127G061.1, ATR0787G123.1, ATR1155G046.1, ATR0019G022.1, ATR0691G127.1, ATR0564G154.1, ATR0582G312.1, ATR0165G055.1, ATR1136G092.1, ATR0796G042.1, ATR0782G038.1, ATR0757G174.1, ATR0665G144.1, ATR0602G049.1, ATR0706G018.1, ATR0751G051.1, ATR1088G021.1, ATR0564G393.1, ATR0763G209.1, ATR0665G068.1, ATR0019G042.1, ATR0824G054.1, ATR0580G329.1, ATR0736G207.1, ATR0837G001.1, ATR0787G035.1, ATR1127G231.1, ATR0111G014.1, ATR0736G070.1, ATR0605G295.1, ATR0618G220.1, ATR0605G188.1, ATR1156G022.1, ATR0706G099.1, ATR0585G067.1, ATR0033G012.1, ATR1120G002.1, ATR0598G230.1, ATR0626G240.1, ATR0315G086.1, ATR0684G222.1, ATR0733G089.1, ATR1120G046.1, ATR0568G182.1, ATR1120G036.1, ATR0618G158.1, ATR0661G071.1, ATR0763G271.1, ATR0582G024.1, ATR0564G020.1, ATR1127G112.1, ATR0564G136.1, ATR0041G023.1, ATR0618G148.1, ATR0582G229.1, ATR0580G224.1, ATR1149G067.1, ATR0680G233.1, ATR0618G358.1, ATR0739G004.1, ATR0932G001.1, ATR0665G300.1, ATR0810G140.1, ATR0691G001.1, ATR0824G213.1, ATR0582G320.1, ATR0165G047.1, ATR0051G028.1, ATR0661G203.1, ATR0580G165.1, ATR1127G078.1, ATR0051G036.1, ATR0745G058.1, ATR0829G141.1, ATR0111G006.1, ATR0706G262.1, ATR0584G204.1, ATR0810G178.1, ATR0684G046.1, ATR0605G085.1, ATR0053G033.1, ATR0315G138.1, ATR0078G029.1, ATR0743G214.1, ATR0787G211.1, ATR0691G210.1, ATR0763G258.1, ATR1134G034.1, ATR0057G035.1, ATR0665G100.1, ATR0584G121.1, ATR0697G226.1, ATR0559G253.1, ATR0064G117.1, ATR0618G161.1, ATR0564G219.1, ATR0743G177.1, ATR0721G127.1, ATR0332G111.1, ATR0068G077.1, ATR0824G165.1, ATR0090G008.1, ATR0568G093.1, ATR1136G129.1, ATR0083G041.1, ATR0585G116.1, ATR0691G008.1, ATR0737G037.1, ATR0099G060.1, ATR0730G131.1, ATR0763G130.1, ATR0681G373.1, ATR0824G103.1, ATR0626G203.1, ATR0099G066.1, ATR0582G369.1, ATR0824G028.1, ATR0100G052.1, ATR1096G003.1, ATR0598G266.1, ATR0165G038.1, ATR0104G019.1, ATR1089G160.1, ATR0691G147.1, ATR0807G153.1, ATR0149G026.1, ATR0618G393.1, ATR0626G369.1, ATR0111G020.1, ATR0800G111.1, ATR0820G209.1, ATR0121G016.1, ATR0332G096.1, ATR0751G266.1, ATR0661G494.1, ATR0121G017.1, ATR0724G028.1, ATR1127G081.1, ATR0564G164.1, ATR0618G122.1, ATR0751G033.1, ATR0693G318.1, ATR0787G191.1, ATR0188G021.1, ATR0193G034.1, ATR0693G351.1, ATR0199G006.1, ATR1098G031.1, ATR0661G097.1, ATR0580G112.1, ATR0307G009.1, ATR0751G176.1, ATR0564G402.1, ATR0307G090.1, ATR0697G126.1, ATR0438G001.1, ATR0661G250.1, ATR0665G472.1, ATR0661G091.1, ATR0559G092.1, ATR0680G044.1, ATR0564G186.1, ATR1089G100.1, ATR0820G295.1, ATR0706G161.1, ATR0680G402.1, ATR0753G131.1, ATR0739G140.1, ATR0580G289.1, ATR1098G086.1, ATR0723G033.1, ATR0723G092.1, ATR0582G368.1, ATR0585G001.1, ATR0585G128.1, ATR0594G048.1, ATR0736G168.1, ATR0594G231.1, ATR0605G116.1, ATR0605G190.1, ATR0605G373.1, ATR0618G332.1, ATR0626G061.1, ATR0626G316.1, ATR0751G067.1, ATR0733G220.1, ATR0661G200.1, ATR0697G143.1, ATR0680G375.1, ATR0733G239.1, ATR0680G422.1, ATR0684G047.1, ATR0693G330.1, ATR0824G187.1, ATR0721G122.1, ATR0730G150.1, ATR0733G184.1, ATR0733G221.1, ATR0739G149.1, ATR1149G042.1, ATR0753G058.1, ATR0753G120.1, ATR0760G001.1, ATR0820G002.1, ATR0789G155.1, ATR0789G156.1, ATR0796G170.1, ATR0796G266.1, ATR0796G334.1, ATR0820G254.1, ATR0820G213.1, ATR0824G064.1, ATR1096G072.1, ATR1147G027.1, ATR1149G005.1, ATR1149G105.1, ATR1153G066.1, ATR1153G108.1
GF00002	ATR0006G013.1, ATR0547G001.1, ATR0733G117.1, ATR0144G001.1, ATR0127G033.1, ATR0594G162.1, ATR0620G094.1, ATR0661G214.1, ATR0639G001.1, ATR1138G001.1, ATR0378G001.1, ATR0697G248.1, ATR0403G001.1, ATR1145G033.1, ATR1015G001.1, ATR0561G091.1, ATR0086G001.1, ATR0749G002.1, ATR0687G004.1, ATR0580G028.1, ATR0594G108.1, ATR0612G001.1, ATR1114G001.1, ATR1120G153.1, ATR0605G231.1, ATR0012G014.1, ATR0940G001.1, ATR0585G070.1, ATR0568G163.1, ATR0787G165.1, ATR0520G001.1, ATR0751G256.1, ATR0800G056.1, ATR0827G184.1, ATR0076G001.1, ATR0525G001.1, ATR0767G160.1, ATR0862G003.1, ATR0976G001.1, ATR0442G001.1, ATR0757G006.1, ATR0017G001.1, ATR0278G001.1, ATR0605G376.1, ATR0517G001.1, ATR0691G069.1, ATR0099G042.1, ATR0208G011.1, ATR0398G001.1, ATR0767G090.1, ATR0019G026.1, ATR0580G080.1, ATR0824G089.1, ATR0069G034.1, ATR1132G132.1, ATR0753G075.1, ATR0767G177.1, ATR0579G063.1, ATR1136G206.1, ATR0207G001.1, ATR0776G001.1, ATR0997G001.1, ATR1102G004.1, ATR0043G007.1, ATR0745G049.1, ATR0753G078.1, ATR1132G105.1, ATR0043G045.1, ATR0723G010.1, ATR0763G235.1, ATR0743G197.1, ATR0745G052.1, ATR0796G265.1, ATR1094G024.1, ATR0737G045.1, ATR0090G034.1, ATR0332G112.1, ATR0661G506.1, ATR0723G049.1, ATR0100G057.1, ATR0759G101.1, ATR0697G049.1, ATR0099G048.1, ATR1165G001.1, ATR0317G022.1, ATR0794G043.1, ATR1156G021.1, ATR0564G290.1, ATR0494G002.1, ATR0099G065.1, ATR0914G001.1, ATR0582G105.1, ATR1120G096.1, ATR0834G001.1, ATR0122G006.1, ATR0697G083.1, ATR0171G029.1, ATR0824G017.1, ATR0716G113.1, ATR0205G023.1, ATR0322G043.1, ATR0219G023.1, ATR0290G001.1, ATR0280G001.1, ATR0800G051.1, ATR0440G001.1, ATR0777G001.1, ATR0314G044.1, ATR0559G268.1, ATR0789G078.1, ATR0561G162.1, ATR0923G002.1, ATR0589G065.1, ATR0665G161.1, ATR0736G112.1, ATR1089G019.1, ATR0751G073.1, ATR0890G001.1, ATR1069G001.1, ATR0935G001.1, ATR1101G087.1, ATR1101G104.1, ATR1152G064.1, ATR1153G095.1, ATR1155G026.1
GF00003	ATR0003G011.1, ATR0193G047.1, ATR0314G020.1, ATR0629G109.1, ATR0705G109.1, ATR0589G047.1, ATR0044G019.1, ATR0804G010.1, ATR0598G126.1, ATR0681G174.1, ATR1128G121.1, ATR0556G002.1, ATR0752G037.1, ATR0219G001.1, ATR0624G111.1, ATR0782G156.1, ATR0326G001.1, ATR0068G019.1, ATR0171G045.1, ATR0751G005.1, ATR0594G014.1, ATR0626G254.1, ATR0620G075.1, ATR0709G009.1, ATR1159G084.1, ATR1134G114.1, ATR0320G029.1, ATR0743G249.1, ATR0568G225.1, ATR0804G046.1, ATR0598G009.1, ATR0759G046.1, ATR0626G085.1, ATR0594G218.1, ATR0019G002.1, ATR0629G103.1, ATR0691G004.1, ATR0564G468.1, ATR0752G235.1, ATR0300G001.1, ATR0629G053.1, ATR0661G500.1, ATR0326G005.1, ATR0594G075.1, ATR0594G129.1, ATR0026G004.1, ATR0618G361.1, ATR0044G038.1, ATR0019G028.1, ATR1127G160.1, ATR0088G037.1, ATR0661G196.1, ATR0661G110.1, ATR0144G022.1, ATR0564G431.1, ATR0122G027.1, ATR0705G017.1, ATR0807G030.1, ATR0796G078.1, ATR0605G317.1, ATR0030G010.1, ATR0762G003.1, ATR0804G092.1, ATR0629G047.1, ATR0705G136.1, ATR0071G035.1, ATR0609G083.1, ATR0144G006.1, ATR0665G604.1, ATR0737G101.1, ATR0602G213.1, ATR1091G003.1, ATR0749G019.1, ATR0598G252.1, ATR0317G020.1, ATR0556G001.1, ATR0064G013.1, ATR0579G074.1, ATR0582G113.1, ATR0706G109.1, ATR0071G018.1, ATR0568G063.1, ATR0796G072.1, ATR0320G047.1, ATR0712G034.1, ATR1134G084.1, ATR0579G102.1, ATR0561G068.1, ATR0090G044.1, ATR0144G020.1, ATR0736G171.1, ATR0088G038.1, ATR0602G015.1, ATR0314G001.1, ATR0980G006.1, ATR0602G201.1, ATR0314G038.1, ATR1101G070.1, ATR1134G046.1, ATR0709G035.1, ATR0582G321.1, ATR0739G103.1, ATR0787G104.1, ATR0222G030.1, ATR0246G001.1, ATR0320G019.1, ATR0829G087.1, ATR0320G023.1, ATR1132G074.1, ATR0753G044.1, ATR0594G181.1, ATR1100G024.1, ATR0820G069.1, ATR0661G073.1, ATR0693G062.1, ATR1096G034.1, ATR0739G037.1, ATR0796G166.1, ATR0820G160.1, ATR1126G068.1
GF00004	ATR0030G022.1, ATR0580G117.1, ATR0561G170.1, ATR1149G061.1, ATR0618G191.1, ATR0602G243.1, ATR0584G264.1, ATR0757G117.1, ATR0794G064.1, ATR0598G159.1, ATR0579G107.1, ATR1089G057.1, ATR0684G110.1, ATR0579G078.1, ATR0661G581.1, ATR0796G063.1, ATR1127G098.1, ATR0564G305.1, ATR0618G320.1, ATR0794G146.1, ATR0796G316.1, ATR0225G028.1, ATR0618G081.1, ATR0127G027.1, ATR0618G340.1, ATR0049G033.1, ATR1154G011.1, ATR0681G029.1, ATR0665G164.1, ATR0681G313.1, ATR1072G002.1, ATR0618G077.1, ATR0618G254.1, ATR0180G022.1, ATR0794G124.1, ATR0759G062.1, ATR0579G095.1, ATR0049G064.1, ATR1154G033.1, ATR0800G099.1, ATR1127G207.1, ATR0691G016.1, ATR0598G337.1, ATR0618G102.1, ATR0193G041.1, ATR0618G280.1, ATR1127G107.1, ATR0665G188.1, ATR0665G328.1, ATR0087G011.1, ATR0681G364.1, ATR0693G381.1, ATR0584G140.1, ATR0580G258.1, ATR1127G057.1, ATR0163G001.1, ATR0706G167.1, ATR0706G157.1, ATR0796G197.1, ATR0618G192.1, ATR0618G441.1, ATR0618G108.1, ATR0163G002.1, ATR0294G001.1, ATR0305G003.1, ATR1072G001.1, ATR1127G142.1, ATR1127G179.1, ATR0294G003.1, ATR1127G136.1, ATR0819G001.1, ATR1013G001.1, ATR0618G016.1, ATR0667G001.1, ATR0618G062.1, ATR0618G333.1, ATR0618G144.1, ATR0294G005.1, ATR0305G001.1, ATR0324G002.1, ATR1127G113.1, ATR0618G273.1, ATR0618G413.1, ATR0667G002.1, ATR0667G003.1, ATR0594G125.1, ATR0324G001.1, ATR0618G130.1, ATR0618G351.1, ATR0564G016.1, ATR1136G198.1, ATR0564G180.1, ATR0691G205.1, ATR0749G072.1, ATR0706G168.1, ATR0749G005.1, ATR1154G017.1, ATR1154G044.1, ATR1154G035.1, ATR1154G021.1, ATR1158G039.1
GF00005	ATR0568G191.1, ATR0122G029.1, ATR0064G101.1, ATR0598G057.1, ATR0757G172.1, ATR0153G013.1, ATR0598G199.1, ATR0153G028.1, ATR0787G040.1, ATR0787G045.1, ATR0772G114.1, ATR0787G214.1, ATR0787G013.1, ATR0605G081.1, ATR0605G364.1, ATR0661G219.1, ATR0827G072.1, ATR0153G025.1, ATR1098G061.1, ATR0199G003.1, ATR0153G024.1, ATR0827G123.1, ATR0153G014.1, ATR0153G022.1, ATR0153G005.1, ATR0122G018.1, ATR0199G019.1, ATR0382G001.1, ATR0787G174.1, ATR0425G001.1, ATR0153G017.1, ATR0153G007.1, ATR0787G190.1, ATR0153G036.1, ATR0153G004.1, ATR0122G020.1, ATR0153G034.1, ATR0153G018.1, ATR0199G010.1, ATR0129G001.1, ATR0153G031.1, ATR0787G195.1, ATR0153G029.1, ATR0153G020.1, ATR0465G001.1, ATR0153G010.1, ATR0824G035.1, ATR1175G001.1, ATR0425G002.1, ATR0153G023.1, ATR0153G037.1, ATR0153G032.1, ATR0153G026.1, ATR0827G127.1, ATR0153G030.1, ATR0624G018.1, ATR0787G015.1, ATR0624G093.1, ATR0626G333.1, ATR0364G001.1, ATR0706G236.1, ATR0598G316.1, ATR0605G053.1, ATR0605G115.1, ATR0605G180.1, ATR0605G344.1, ATR0605G378.1, ATR0624G064.1, ATR0827G037.1, ATR0624G094.1, ATR0827G161.1, ATR0661G420.1, ATR0686G184.1, ATR0772G216.1, ATR0794G063.1, ATR0827G041.1, ATR0827G147.1
GF00006	ATR0026G059.1, ATR0482G001.1, ATR0782G148.1, ATR0782G055.1, ATR0782G123.1, ATR0782G103.1, ATR0782G138.1, ATR0782G013.1, ATR0118G032.1, ATR0782G108.1, ATR0782G132.1, ATR0782G219.1, ATR0767G181.1, ATR0782G145.1, ATR0782G188.1, ATR0782G070.1, ATR0862G002.1, ATR0749G085.1, ATR0782G172.1, ATR0782G007.1, ATR0782G116.1, ATR0782G092.1, ATR0749G073.1, ATR0782G121.1, ATR0782G054.1, ATR0782G169.1, ATR0767G118.1, ATR0210G043.1, ATR0782G019.1, ATR0749G091.1, ATR0782G026.1, ATR0782G163.1, ATR0862G001.1, ATR0782G080.1, ATR0749G065.1, ATR0782G066.1, ATR0782G090.1, ATR0064G108.1, ATR0782G209.1, ATR0548G001.1, ATR0782G234.1, ATR0782G141.1, ATR0782G068.1, ATR0782G214.1, ATR0782G157.1, ATR0782G140.1, ATR0782G229.1, ATR0782G205.1, ATR0210G019.1, ATR0782G242.1, ATR0782G217.1, ATR0782G227.1, ATR0862G004.1, ATR0782G180.1, ATR0782G052.1, ATR0782G212.1, ATR0782G004.1, ATR0767G106.1, ATR0782G171.1, ATR0782G099.1, ATR0782G129.1, ATR0782G011.1, ATR0782G237.1, ATR0782G057.1, ATR0782G135.1, ATR0782G106.1, ATR0782G236.1, ATR0782G202.1, ATR0782G206.1
GF00007	ATR1149G072.1, ATR0048G005.1, ATR0730G223.1, ATR1149G081.1, ATR0807G065.1, ATR1149G043.1, ATR0691G068.1, ATR0751G062.1, ATR0691G032.1, ATR1128G046.1, ATR1149G076.1, ATR0499G016.1, ATR1001G001.1, ATR0691G236.1, ATR0691G121.1, ATR0751G173.1, ATR0751G085.1, ATR0751G209.1, ATR0691G286.1, ATR0751G239.1, ATR0048G067.1, ATR0751G224.1, ATR0691G257.1, ATR1149G063.1, ATR0499G015.1, ATR0787G029.1, ATR0691G269.1, ATR1128G054.1, ATR0751G102.1, ATR0150G009.1, ATR1152G041.1, ATR0751G098.1, ATR0751G059.1, ATR0691G019.1, ATR0499G007.1, ATR0691G259.1, ATR1101G041.1, ATR0751G206.1, ATR0455G001.1, ATR0691G011.1, ATR0751G002.1, ATR0751G200.1, ATR1101G073.1, ATR0831G001.1, ATR1101G001.1, ATR1136G087.1, ATR0751G253.1, ATR1101G031.1, ATR0991G001.1, ATR0564G235.1, ATR0584G236.1, ATR0751G227.1, ATR0691G245.1, ATR0620G048.1, ATR0807G191.1, ATR0691G320.1, ATR0691G139.1, ATR0691G119.1, ATR0691G296.1, ATR1101G037.1, ATR0712G075.1, ATR0751G058.1, ATR0751G128.1, ATR0751G142.1, ATR0751G267.1, ATR0767G137.1, ATR1101G043.1, ATR1101G076.1, ATR1149G032.1
GF00008	ATR0001G030.1, ATR0665G274.1, ATR0733G167.1, ATR0665G001.1, ATR0602G263.1, ATR0824G045.1, ATR1089G054.1, ATR1127G205.1, ATR1127G146.1, ATR0796G292.1, ATR0594G016.1, ATR0680G262.1, ATR0661G031.1, ATR1127G016.1, ATR1098G014.1, ATR1159G016.1, ATR0824G279.1, ATR0021G011.1, ATR0009G008.1, ATR0705G046.1, ATR0705G077.1, ATR0705G220.1, ATR0705G097.1, ATR0705G024.1, ATR0705G135.1, ATR0705G124.1, ATR0705G068.1, ATR1145G060.1, ATR0693G277.1, ATR1127G092.1, ATR0800G034.1, ATR0598G282.1, ATR0582G051.1, ATR0772G039.1, ATR0681G251.1, ATR1088G007.1, ATR0691G246.1, ATR0584G203.1, ATR0691G021.1, ATR0706G019.1, ATR0582G079.1, ATR0697G301.1, ATR0605G228.1, ATR0602G262.1, ATR0767G207.1, ATR0594G050.1, ATR0759G073.1, ATR0559G088.1, ATR0661G548.1, ATR1145G095.1, ATR0568G019.1, ATR0661G044.1, ATR0697G284.1, ATR0782G181.1, ATR0661G411.1, ATR0681G006.1, ATR0686G012.1, ATR1120G020.1, ATR0686G176.1, ATR1127G044.1, ATR0705G217.1, ATR0705G207.1, ATR0739G077.1, ATR1134G053.1, ATR0796G171.1
GF00009	ATR0006G011.1, ATR0006G047.1, ATR0006G053.1, ATR0796G134.1, ATR0681G037.1, ATR1154G043.1, ATR0580G300.1, ATR0605G351.1, ATR1127G188.1, ATR0661G126.1, ATR1132G014.1, ATR1152G092.1, ATR0317G110.1, ATR0686G213.1, ATR0820G242.1, ATR0618G289.1, ATR0602G289.1, ATR0026G002.1, ATR0743G258.1, ATR0691G064.1, ATR0320G021.1, ATR0824G087.1, ATR0763G110.1, ATR1136G075.1, ATR0705G164.1, ATR0620G161.1, ATR0564G231.1, ATR0686G187.1, ATR0686G155.1, ATR0564G391.1, ATR0564G480.1, ATR0064G121.1, ATR1096G140.1, ATR0602G265.1, ATR0177G056.1, ATR0691G194.1, ATR1149G150.1, ATR0083G056.1, ATR0730G154.1, ATR0222G015.1, ATR0561G019.1, ATR0757G121.1, ATR0561G066.1, ATR1127G133.1, ATR1131G010.1, ATR0763G153.1, ATR0737G106.1, ATR0564G045.1, ATR0752G106.1, ATR0568G102.1, ATR0564G147.1, ATR0564G403.1, ATR0568G045.1, ATR0568G136.1, ATR0568G052.1, ATR0568G176.1, ATR0568G183.1, ATR0723G008.1, ATR0723G060.1, ATR1096G065.1, ATR0824G207.1, ATR0824G215.1
GF00010	ATR0767G204.1, ATR0767G025.1, ATR0737G068.1, ATR0712G098.1, ATR0012G009.1, ATR0739G111.1, ATR0680G413.1, ATR0749G046.1, ATR1147G009.1, ATR0684G145.1, ATR0598G131.1, ATR0624G127.1, ATR1120G023.1, ATR0767G188.1, ATR0763G165.1, ATR0332G030.1, ATR0149G019.1, ATR1136G182.1, ATR1136G070.1, ATR0199G026.1, ATR0605G058.1, ATR0582G032.1, ATR0177G018.1, ATR0598G026.1, ATR0329G008.1, ATR0787G142.1, ATR0582G118.1, ATR0665G290.1, ATR0757G092.1, ATR0706G255.1, ATR1098G104.1, ATR0048G026.1, ATR0057G078.1, ATR0602G217.1, ATR0580G151.1, ATR1136G207.1, ATR1120G146.1, ATR0763G060.1, ATR0767G133.1, ATR0088G041.1, ATR0705G030.1, ATR0829G095.1, ATR0736G083.1, ATR0217G002.1, ATR0618G359.1, ATR0579G048.1, ATR0598G335.1, ATR0736G151.1, ATR0661G254.1, ATR0757G001.1, ATR0152G022.1, ATR0585G091.1, ATR0584G132.1, ATR0594G004.1, ATR0618G160.1, ATR0629G132.1, ATR0705G115.1, ATR0705G031.1, ATR1120G114.1
